Time,"Time Code","Country Name","Country Code","AIDS estimated deaths (UNAIDS estimates) [SH.DYN.AIDS.DH]","Children orphaned by HIV/AIDS [SH.HIV.ORPH]","Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Forest area (% of land area) [AG.LND.FRST.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS]","Population, total [SP.POP.TOTL]","Vulnerable employment, female (% of female employment) [SL.EMP.VULN.FE.ZS]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]"
1990,"YR1990","Lebanon","LBN","100","","","3.03885733565765","91.9932210266641","3.002","12.8054740957967","","","2703016","","43.7818"
1990,"YR1990","Lesotho","LSO","200","500","","0.919071684815747","","4.919","1.31752305665349","","","1603938","","82.8836"
1990,"YR1990","Liberia","LBR","1300","3200","","0.225555875554064","","6.499","51.1731727574751","","","2097232","","169.6886"
1990,"YR1990","Libya","LBY","","","","8.2900203553979","","4.966","0.123327687918433","","35.2","4436661","","13.9022"
1990,"YR1990","Liechtenstein","LIE","","","","","","","40.625","","","28747","",""
1990,"YR1990","Lithuania","LTU","100","","","","","2.03","31.0306317804722","","","3697838","","38.999"
1990,"YR1990","Low & middle income","LMY","","","","2.10265064658204","220.318149871394","3.605081775642","33.5922487172355","80.50263","47.6589131629913","4250768747","","71.9425954692463"
1990,"YR1990","Low income","LIC","","","","0.440647053727","","6.3436413981542","29.8019808171529","58.13337","75.4771333231276","352473181","","129.753708899343"
1990,"YR1990","Lower middle income","LMC","","","","0.971687795382652","199.626810177886","4.24728396711984","29.784864220743","69.27228","56.4973181860886","1881674731","","93.7943510537578"
1990,"YR1990","Luxembourg","LUX","100","","","26.1976587665314","154.016137781021","1.6","","","","381850","","12.0728"
1990,"YR1990","Macao SAR, China","MAC","","","","3.00665532731475","","1.722","","","","343935","","6.6496"
1990,"YR1990","Macedonia, FYR","MKD","100","","","","128.818567308659","2.206","35.863153755407","","","1996228","","45.389"
1990,"YR1990","Madagascar","MDG","100","100","","0.0818849083335941","","6.179","23.5443821577192","","93","11598633","","149.3236"
1990,"YR1990","Malawi","MWI","7200","18000","","0.0792650382996525","","6.922","41.3237165888842","","66.4","9437553","","174.3608"
1990,"YR1990","Malaysia","MYS","500","500","","3.13736577811205","114.711516348489","3.554","68.1053112159489","","","18038321","","19.3868"
1990,"YR1990","Maldives","MDV","","","","0.772121049212642","","5.993","3.33333333333333","98.1996231079102","","223215","","130.0734"
1990,"YR1990","Mali","MLI","1600","5200","","0.0498163773799235","","7.165","5.48275268605709","","94.2","8465188","","195.5498"
1990,"YR1990","Malta","MLT","","","","6.09837930937121","121.265034639675","2.04","1.09375","","","354170","","12.0768"
1990,"YR1990","Marshall Islands","MHL","","","","1.00788616854835","","","","","","47298","",""
1990,"YR1990","Mauritania","MRT","100","500","","0.446151004364231","","6.04","0.402638983215291","","","2030140","","108.6238"
1990,"YR1990","Mauritius","MUS","","","","1.38191117092867","85.2033344652719","2.32","20.2463054187192","91.1919937133789","","1058775","","43.4378"
1990,"YR1990","Mexico","MEX","1400","8700","","3.73050073857275","110.858384169391","3.47","35.8856966485764","95.4182434082031","23.1","85357874","","83.018"
1990,"YR1990","Micronesia, Fed. Sts.","FSM","","","","","","4.958","","","","96331","","50.4002"
1990,"YR1990","Middle East & North Africa","MEA","","","","3.56939660672804","95.8704142787603","4.92133663145268","1.77325357399938","77.36872","39.461592674246","255989130","","68.9270911104944"
1990,"YR1990","Middle East & North Africa (excluding high income)","MNA","","","","2.41708294701826","98.0093915649818","4.92307621196022","2.14823795630233","75.94729","39.2036624795189","227903820","","70.2306918836969"
1990,"YR1990","Middle East & North Africa (IDA & IBRD)","TMN","","","","2.43689123425125","98.0093915649818","4.90795736801002","2.14868394243059","75.74914","39.2036624795189","225925572","","69.903844027433"
1990,"YR1990","Middle income","MIC","","","","2.25277369798701","219.081596593751","3.37829326956536","34.2867229176424","82.25521","46.3330309951884","3898295566","","66.4627368016339"
1990,"YR1990","Moldova","MDA","100","100","","","","2.414","9.70489808335869","","","3696000","","57.35"
1990,"YR1990","Monaco","MCO","","","","","","","","","","29439","",""
1990,"YR1990","Mongolia","MNG","100","","","4.57337218911748","304.630571307942","4.052","8.06920878498416","","68.5","2184145","","36.6066"
1990,"YR1990","Montenegro","MNE","100","","","","","2.078","46.542750929368","","","606372","","28.5948"
1990,"YR1990","Morocco","MAR","100","500","","0.946260352449538","77.5991791325665","4.057","11.1001568451714","","37.4","24879136","","40.4964"
1990,"YR1990","Mozambique","MOZ","2800","7800","","0.0772282689554954","1180.9365996357","6.211","55.1616266944734","","75.6","13247649","","184.2446"
1990,"YR1990","Myanmar","MMR","100","100","","0.105245303221439","353.808908597343","3.455","60.0085687180586","","","40626250","","45.519"
1990,"YR1990","Namibia","NAM","500","680","","0.0285129201267838","","5.227","10.6426654034423","","34.4","1414692","","108.7962"
1990,"YR1990","Nauru","NRU","","","","13.6185690879301","","","0","","","9155","",""
1990,"YR1990","Nepal","NPL","100","100","","0.0338352585676581","257.745293622561","5.172","33.6853146853147","","70.6","18749406","","131.667"
1990,"YR1990","Netherlands","NLD","500","","","10.5944750062034","136.943383856548","1.62","10.2191943127962","","","14951510","","7.0262"
1990,"YR1990","New Caledonia","NCL","","","","9.26947495304244","","3.19","45.8971553610503","","","170899","","38.7652"
1990,"YR1990","New Zealand","NZL","100","","","7.07123761186858","162.82884434312","2.18","36.6791994227337","","","3329800","","32.7844"
1990,"YR1990","Nicaragua","NIC","100","100","","0.614917367685149","162.198956707259","4.597","37.5103872361642","","89.1","4144565","","151.7296"
1990,"YR1990","Niger","NER","500","870","","0.0915278575280415","","7.772","1.53548590826557","","83.6","8012861","","223.6904"
1990,"YR1990","Nigeria","NGA","20000","76000","","0.411426135584272","229.225688893398","6.49","18.922450234417","","77.3","95269988","","148.0054"
